Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1998-02-28,24,24,24,24
1998-04-30,23,23,23,23
1998-05-31,21.5,21.5,21.5,21.5
1998-07-31,19,19,19,19
1998-09-30,18,18,18,18
1998-10-31,17,17,17,17
1998-12-31,15.5,15.5,15.5,15.5
1999-01-31,13,13,13,13
1999-09-30,14,14,14,14
1999-11-30,16.5,16.5,16.5,16.5
2000-02-29,17.5,17.5,17.5,17.5
2000-08-31,19,19,19,19
2001-03-31,18,18,17,17
2001-06-30,15.5,15.5,15.5,15.5
2001-08-31,14.5,14.5,14.5,14.5
2001-10-31,13,13,13,13
2001-11-30,11.5,11.5,11.5,11.5
2001-12-31,11.5,11.5,11.5,11.5
2002-01-31,10,10,10,10
2002-04-30,9.5,9.5,9.5,9.5
2002-05-31,9,9,9,9
2002-06-30,8.5,8.5,8.5,8.5
2002-08-31,8,8,8,8
2002-09-30,7.5,7.5,7.5,7.5
2002-10-31,7,7,7,7
2002-11-30,6.75,6.75,6.75,6.75
2003-01-31,6.5,6.5,6.5,6.5
2003-02-28,6.25,6.25,6.25,6.25
2003-03-31,6,6,6,6
2003-04-30,5.75,5.75,5.75,5.75
2003-05-31,5.5,5.5,5.5,5.5
2003-06-30,5.25,5.25,5.25,5.25
2004-07-31,5.75,6,5.75,6
2004-08-31,6.5,6.5,6.5,6.5
2005-03-31,6,6,6,6
2005-04-30,5.5,5.5,5.5,5.5
2005-06-30,5,5,5,5
2005-07-31,4.75,4.75,4.75,4.75
2005-09-30,4.5,4.5,4.5,4.5
2006-02-28,4.25,4.25,4.25,4.25
2006-03-31,4,4,4,4
2007-04-30,4.25,4.25,4.25,4.25
2007-06-30,4.5,4.5,4.5,4.5
2007-08-31,4.75,4.75,4.75,4.75
2007-11-30,5,5,5,5
2008-01-31,5.25,5.25,5.25,5.25
2008-02-29,5.5,5.5,5.5,5.5
2008-03-31,5.75,5.75,5.75,5.75
2008-06-30,6,6,6,6
2008-11-30,5.75,5.75,5.75,5.75
2008-12-31,5,5,5,5
2009-01-31,4.25,4.25,4.25,4.25
2009-02-28,4,4,4,4
2009-03-31,3.75,3.75,3.75,3.75
2009-06-30,3.5,3.5,3.5,3.5
2010-01-31,3.5,3.5,3.5,3.5
2010-06-30,3.5,3.5,3.5,3.5
2010-08-31,3.5,3.5,3.5,3.5
2010-09-30,3.5,3.5,3.5,3.5
2010-11-30,3.5,3.5,3.5,3.5
2010-12-31,3.5,3.5,3.5,3.5
2011-01-31,3.75,3.75,3.75,3.75
2011-03-31,3.75,3.75,3.75,3.75
2011-04-30,4,4,4,4
2011-05-31,4.25,4.25,4.25,4.25
2011-06-30,4.5,4.5,4.5,4.5
2011-07-31,4.5,4.5,4.5,4.5
2011-09-30,4.5,4.5,4.5,4.5
2011-10-31,4.5,4.5,4.5,4.5
2011-11-30,4.5,4.5,4.5,4.5
2011-12-31,4.5,4.5,4.5,4.5
2012-01-31,4.5,4.5,4.5,4.5
2012-02-29,4.5,4.5,4.5,4.5
2012-03-31,4.5,4.5,4.5,4.5
2012-04-30,4.5,4.5,4.5,4.5
2012-05-31,4.75,4.75,4.75,4.75
2012-06-30,4.75,4.75,4.75,4.75
2012-07-31,4.75,4.75,4.75,4.75
2012-09-30,4.75,4.75,4.75,4.75
2012-10-31,4.75,4.75,4.75,4.75
2012-11-30,4.5,4.5,4.5,4.5
2012-12-31,4.25,4.25,4.25,4.25
2013-01-31,4,4,4,4
2013-02-28,3.75,3.75,3.75,3.75
2013-03-31,3.25,3.25,3.25,3.25
2013-04-30,3.25,3.25,3.25,3.25
2013-05-31,3,3,3,3
2013-06-30,2.75,2.75,2.75,2.75
2013-07-31,2.5,2.5,2.5,2.5
2013-09-30,2.5,2.5,2.5,2.5
2013-10-31,2.5,2.5,2.5,2.5
2013-11-30,2.5,2.5,2.5,2.5
2013-12-31,2.5,2.5,2.5,2.5
2014-01-31,2.5,2.5,2.5,2.5
2014-02-28,2.5,2.5,2.5,2.5
2014-03-31,2.5,2.5,2.5,2.5
2014-04-30,2.5,2.5,2.5,2.5
2014-05-31,2.5,2.5,2.5,2.5
2014-06-30,2.5,2.5,2.5,2.5
2014-07-31,2.5,2.5,2.5,2.5
2014-09-30,2.5,2.5,2.5,2.5
2014-10-31,2,2,2,2
2014-11-30,2,2,2,2
2014-12-31,2,2,2,2
2015-01-31,2,2,2,2
2015-02-28,2,2,2,2
2015-03-31,1.5,1.5,1.5,1.5
2015-04-30,1.5,1.5,1.5,1.5
2015-05-31,1.5,1.5,1.5,1.5
2015-06-30,1.5,1.5,1.5,1.5
2015-07-31,1.5,1.5,1.5,1.5
2015-09-30,1.5,1.5,1.5,1.5
2015-10-31,1.5,1.5,1.5,1.5
2015-11-30,1.5,1.5,1.5,1.5
2015-12-31,1.5,1.5,1.5,1.5
2016-01-31,1.5,1.5,1.5,1.5
2016-02-29,1.5,1.5,1.5,1.5
2016-03-31,1.5,1.5,1.5,1.5
2016-04-30,1.5,1.5,1.5,1.5
2016-05-31,1.5,1.5,1.5,1.5
2016-06-30,1.5,1.5,1.5,1.5
2016-07-31,1.5,1.5,1.5,1.5
2016-09-30,1.5,1.5,1.5,1.5
2016-10-31,1.5,1.5,1.5,1.5
2016-11-30,1.5,1.5,1.5,1.5
2016-12-31,1.5,1.5,1.5,1.5
2017-01-31,1.5,1.5,1.5,1.5
2017-02-28,1.5,1.5,1.5,1.5
2017-03-31,1.5,1.5,1.5,1.5
2017-04-30,1.5,1.5,1.5,1.5
2017-05-31,1.5,1.5,1.5,1.5
2017-06-30,1.5,1.5,1.5,1.5
2017-07-31,1.5,1.5,1.5,1.5
2017-09-30,1.5,1.5,1.5,1.5
2017-10-31,1.5,1.5,1.5,1.5
2017-11-30,1.5,1.5,1.5,1.5
2017-12-31,1.5,1.5,1.5,1.5
2018-01-31,1.5,1.5,1.5,1.5
2018-02-28,1.5,1.5,1.5,1.5
2018-03-31,1.5,1.5,1.5,1.5
2018-04-30,1.5,1.5,1.5,1.5
2018-05-31,1.5,1.5,1.5,1.5
2018-06-30,1.5,1.5,1.5,1.5
2018-07-31,1.5,1.5,1.5,1.5
2018-09-30,1.5,1.5,1.5,1.5
2018-10-31,1.5,1.5,1.5,1.5
2018-11-30,1.5,1.5,1.5,1.5
2018-12-31,1.5,1.5,1.5,1.5
2019-01-31,1.5,1.5,1.5,1.5
2019-02-28,1.5,1.5,1.5,1.5
2019-03-31,1.5,1.5,1.5,1.5
2019-04-30,1.5,1.5,1.5,1.5
2019-05-31,1.5,1.5,1.5,1.5
2019-06-30,1.5,1.5,1.5,1.5
2019-07-31,1.5,1.5,1.5,1.5
2019-09-30,1.5,1.5,1.5,1.5
2019-10-31,1.5,1.5,1.5,1.5
2019-11-30,1.5,1.5,1.5,1.5
2019-12-31,1.5,1.5,1.5,1.5
2020-01-31,1.5,1.5,1.5,1.5
2020-02-29,1.5,1.5,1.5,1.5
2020-03-31,1,1,1,1
2020-04-30,0.5,0.5,0.5,0.5
2020-05-31,0.1,0.1,0.1,0.1
2020-06-30,0.1,0.1,0.1,0.1
2020-07-31,0.5,0.5,0.5,0.5
2020-09-30,0.5,0.5,0.5,0.5
2020-10-31,0.5,0.5,0.5,0.5
2020-11-30,0.5,0.5,0.5,0.5
2020-12-31,1,1,1,1
2021-01-31,0.1,0.1,0.1,0.1
2021-02-28,0.1,0.1,0.1,0.1
2021-03-31,0.1,0.1,0.1,0.1
2021-04-30,0.1,0.1,0.1,0.1
2021-05-31,0.1,0.1,0.1,0.1
2021-06-30,0.1,0.1,0.1,0.1
2021-07-31,0.1,0.1,0.1,0.1
2021-09-30,0.1,0.1,0.1,0.1
2021-10-31,0.5,0.5,0.5,0.5
