Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1997-02-28,22.43,22.71,22.43,22.6
1997-03-31,22.63,22.76,22.46,22.76
1997-04-30,22.8,22.87,22.5,22.87
1997-05-31,22.87,22.93,22.6,22.8
1997-06-30,22.77,22.77,22.52,22.58
1997-07-31,22.63,26.16,22.63,26.16
1997-08-31,26.42,26.42,25.2,25.74
1997-09-30,25.99,25.99,25.45,25.53
1997-10-31,25.52,25.54,25.08,25.28
1997-11-30,25.25,25.43,25.15,25.43
1997-12-31,25.45,26.01,25.37,26.01
1998-01-31,26.01,26.45,25.63,26.3
1998-02-28,26.15,26.15,24.09,24.33
1998-03-31,24.28,24.77,24.28,24.77
1998-04-30,24.71,24.71,23.66,23.66
1998-05-31,23.66,23.66,21.98,22.12
1998-06-30,22.15,22.18,21.66,21.67
1998-07-31,21.64,21.65,19.9,19.9
1998-08-31,19.7,19.7,18.93,19.48
1998-09-30,19.49,19.49,17.9,17.9
1998-10-31,17.89,17.95,16.69,16.69
1998-11-30,16.62,16.62,16.04,16.04
1998-12-31,15.98,15.98,15.36,15.36
1999-01-31,15.21,15.21,13.12,13.12
1999-02-28,13.12,13.12,12.9,12.9
1999-03-31,12.9,13.04,12.88,12.88
1999-04-30,12.85,13.08,12.81,13.08
1999-05-31,13.1,13.1,13.07,13.1
1999-06-30,13.1,13.23,13.1,13.2
1999-07-31,13.23,13.74,13.23,13.74
1999-08-31,13.82,14.28,13.82,14.04
1999-09-30,14.05,16.48,14.05,16.48
1999-10-31,16.46,17.49,16.18,17.39
1999-11-30,17.39,19.46,17.39,18.26
1999-12-31,18.21,18.67,18.2,18.67
2000-01-31,17.61,17.61,16.97,17.29
2000-02-29,17.24,18.6,17.24,18.6
2000-03-31,18.58,18.58,18.23,18.28
2000-04-30,18.3,18.55,18.19,18.55
2000-05-31,18.55,19.35,18.55,18.62
2000-06-30,18.59,19.12,18.54,19.01
2000-07-31,18.95,18.98,18.75,18.98
2000-08-31,19.02,20.01,19,19.81
2000-09-30,19.79,19.79,19.55,19.59
2000-10-31,19.58,20.15,19.58,19.9
2000-11-30,19.9,19.9,19.71,19.81
2000-12-31,19.84,19.86,19.2,19.21
2001-01-31,18.91,18.91,18.21,18.29
2001-02-28,18.2,18.2,17.82,17.82
2001-03-31,17.84,17.84,16.86,16.86
2001-04-30,16.8,16.8,16.26,16.55
2001-05-31,16.55,16.75,16.41,16.53
2001-06-30,16.49,16.5,15.74,15.74
2001-07-31,15.82,16.1,15.23,15.23
2001-08-31,15.22,15.37,14.7,14.7
2001-09-30,14.65,14.66,13.84,13.93
2001-10-31,13.77,13.77,12.78,12.98
2001-11-30,12.99,13.58,12,12
2001-12-31,11.79,12.24,11.32,11.32
2002-01-31,11.29,11.29,10.16,10.36
2002-02-28,10.5,10.68,10.11,10.11
2002-03-31,9.93,10.37,9.93,10.27
2002-04-30,10.2,10.24,9.86,9.94
2002-05-31,9.93,9.98,9.59,9.6
2002-06-30,9.49,9.51,8.74,8.74
2002-07-31,8.73,8.93,8.52,8.52
2002-08-31,8.45,8.45,8.2,8.2
2002-09-30,8.18,8.19,7.52,7.52
2002-10-31,7.42,7.43,6.79,6.8
2002-11-30,6.8,6.8,6.26,6.52
2002-12-31,6.52,6.65,6.44,6.6
2003-01-31,6.5,6.5,6.23,6.24
2003-02-28,6.24,6.32,6.07,6.08
2003-03-31,6.1,6.1,5.81,5.81
2003-04-30,5.81,5.82,5.55,5.55
2003-05-31,5.55,5.55,5.18,5.19
2003-06-30,5.18,5.18,5.15,5.15
2003-07-31,5.15,5.2,5.13,5.14
2003-08-31,5.13,5.13,4.99,5.06
2003-09-30,5.06,5.2,5.02,5.2
2003-10-31,5.21,5.95,5.21,5.95
2003-11-30,5.93,6.02,5.63,6.02
2003-12-31,6.03,6.1,5.66,5.69
2004-01-31,5.6,5.64,5.43,5.56
2004-02-29,5.57,5.63,5.5,5.63
2004-03-31,5.64,5.65,5.59,5.64
2004-04-30,5.66,6.06,5.66,6.06
2004-05-31,6.13,6.39,6.13,6.34
2004-06-30,6.34,6.41,6.16,6.41
2004-07-31,6.58,6.88,6.54,6.73
2004-08-31,6.75,7.25,6.75,7.25
2004-09-30,7.35,7.4,7.01,7.01
2004-10-31,7.03,7.05,6.9,6.92
2004-11-30,6.94,6.96,6.84,6.84
2004-12-31,6.82,6.82,6.61,6.61
2005-01-31,6.6,6.64,6.6,6.6
2005-02-28,6.6,6.6,6.18,6.18
2005-03-31,6.1,6.11,5.78,5.78
2005-04-30,5.75,5.75,5.48,5.51
2005-05-31,5.5,5.5,5.36,5.37
2005-06-30,5.18,5.19,4.74,4.74
