Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-04-30,98.65,98.65,92.24,92.24,13392
1991-05-31,91.65,94.21,91.65,93.33,64490
1991-06-30,94.51,94.51,82.97,82.97,97403
1991-07-31,86.91,86.91,80.5,80.5,193362
1991-08-31,77.44,77.44,72.12,72.12,141423
1991-09-30,70.83,70.83,66.3,66.3,232641
1991-10-31,66.2,90.07,66.2,90.07,411128
1991-11-30,96.58,97.08,83.56,83.56,399798
1991-12-31,89.48,97.77,89.48,89.68,374494
1992-01-31,95.1,95.1,89.28,91.45,345311
1992-02-29,91.26,91.85,87.9,90.27,970073
1992-03-31,92.44,93.33,86.03,86.03,2417480
1992-04-30,85.63,85.63,75.47,75.47,4967443
1992-05-31,74.29,76.36,72.12,73,5043810
1992-06-30,72.81,72.81,61.95,70.54,4607236
1992-07-31,77.25,84.94,77.25,82.08,10172708
1992-08-31,79.91,82.97,78.82,82.97,7083929
1992-09-30,81.78,88.99,80.6,88.99,11099406
1992-10-31,91.45,93.82,85.53,91.65,13996998
1992-11-30,90.27,94.12,90.27,94.12,8342982
1992-12-31,98.85,104.47,98.85,101.52,10499042
1993-01-31,101.12,105.86,101.12,102.5,10229285
1993-02-28,103.19,105.66,102.21,105.66,8841247
1993-03-31,107.34,127.07,107.34,127.07,18248602
1993-04-30,126.18,190.21,126.18,179.25,25574976
1993-05-31,184.78,369.07,184.78,369.07,33992421
1993-06-30,361.86,361.86,257.29,341.74,41963376
1993-07-31,358.71,413.26,358.71,409.22,46735411
1993-08-31,412.37,728.96,412.37,615.21,62592429
1993-09-30,672.33,737.44,570.32,614.71,54926445
1993-10-31,638,790.91,638,777.79,58088310
1993-11-30,798.8,892.23,792.09,864.9,55836595
1993-12-31,894.6,1250.25,894.6,1213.25,56523790
1994-01-31,1272.34,1776.96,1272.34,1646.54,91209889
1994-02-28,1485.14,1969.83,1450.41,1969.83,73599839
1994-03-31,1977.52,2024.88,1417.76,1417.76,53418710
1994-04-30,1344.56,1366.85,973.42,1074.84,37318660
1994-05-31,1110.85,1217.2,1014.36,1173.99,48848057
1994-06-30,1089.04,1089.04,703.7,760.03,46050656
1994-07-31,782.13,1137.78,782.13,1045.14,60925484
1994-08-31,1053.33,1212.66,1053.33,1086.48,48524961
1994-09-30,1035.28,1035.28,844.97,891.54,40849712
1994-10-31,914.92,960.99,753.72,753.72,42666482
1994-11-30,779.66,801.17,640.46,765.66,51539755
