Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1991-04-30,1000,1000,945.6,945.6,13392
1991-05-31,939.6,966.1,939.6,956.5,64490
1991-06-30,969.4,969.4,850.2,850.2,97403
1991-07-31,891.2,891.2,825.1,825.1,193362
1991-08-31,794.2,794.2,739.7,739.7,141423
1991-09-30,725.8,725.8,680,680,232641
1991-10-31,678.5,923.2,678.5,923.2,411128
1991-11-30,990.4,995.7,856.7,856.7,399798
1991-12-31,917.1,1001.9,917.1,919.1,374494
1992-01-31,974.9,974.9,915.1,937.4,345311
1992-02-29,935.1,941.6,901.3,925.4,970073
1992-03-31,947.9,956.6,882.2,882.2,2417480
1992-04-30,878.3,878.3,774.2,774.2,4967443
1992-05-31,761.3,782.5,738.9,748.6,5043810
1992-06-30,746.7,746.7,635.3,723.5,4607236
1992-07-31,791.9,870.6,791.9,841.2,10172708
1992-08-31,819.1,850.4,807.9,850.4,7083929
1992-09-30,838.7,912.1,826.4,912.1,11099406
1992-10-31,938,961.5,877.1,940.1,13996998
1992-11-30,925.7,965.1,925.7,965.1,8342982
1992-12-31,1013.4,1070.9,1013.4,1040.6,10499042
1993-01-31,1037,1085.5,1037,1050.5,10229285
1993-02-28,1057.5,1083,1047.5,1083,8841247
1993-03-31,1100.8,1302.9,1100.8,1302.9,18248602
1993-04-30,1293.2,1950.3,1293.2,1837.4,25574976
1993-05-31,1894.9,3783.7,1894.9,3783.7,33992421
1993-06-30,3709.9,3709.9,2637.6,3504.1,41963376
1993-07-31,3677.5,4237.1,3677.5,4195.1,46735411
1993-08-31,4227.5,7474,4227.5,6307.8,62592429
1993-09-30,6893.6,7560.9,5847.6,6302.2,54926445
1993-10-31,6541.6,8109.4,6541.6,7974.5,58088310
1993-11-30,8189.8,9147.2,8121,8867.2,55836595
1993-12-31,9172.4,12818.1,9172.4,12439,56523790
1994-01-31,13044.8,18218,13044.8,16881,91209889
1994-02-28,15227,20196,14871,20196,73599839
1994-03-31,20275,20760,14536,14536,53418710
1994-04-30,13785,14014,9980.4,11020,37318660
1994-05-31,11389.4,12479,10399.7,12036,48848057
1994-06-30,11166,11166,7215.2,7792.5,46050656
1994-07-31,8019,11665,8019,10715,60925484
1994-08-31,10799.4,12507,10799.4,11181.4,48524961
1994-09-30,10635,10635,8705.2,9185.3,40849712
1994-10-31,9456.3,9911.6,7793.6,7793.6,42666482
1994-11-30,8078.4,8290.2,6716.2,7959.3,51539755
1994-12-31,8177,8177,6961.6,7473.1,56691787
1995-01-31,7674.4,7964.9,6153,6153,45762071
1995-02-28,6258.6,6903.4,5926.4,6447.3,44322258
1995-03-31,6460.2,6720,5904.7,6175.9,30339531
1995-04-30,6166.8,9268.7,6166.8,8761.8,92880474
1995-05-31,8725,9396.9,7433.9,7936.7,77553726
1995-06-30,7667.8,8701.3,7667.8,8701.3,42950555
1995-07-31,8755.3,8984.9,8334.9,8399.3,47826124
1995-08-31,8343.2,8602.9,8300.5,8361.1,33842307
1995-09-30,8436.1,9370.1,8436.1,8761.1,56627612
1995-10-31,8749,8749,7796.2,7796.2,35263239
1995-11-30,8071.1,8331.7,7788.4,7864.5,41196239
1995-12-31,7916.2,8078.7,7455.2,7585.9,37775617
1996-01-31,7725.2,10413.1,7725.2,10413.1,100058956
1996-02-29,10277.3,11160.3,10169.4,11028.5,105813415
1996-03-31,11147,12042.3,11147,11378.5,105763429
1996-04-30,11489.7,12499,11416.8,12439.6,90997363
1996-05-31,12570.3,13257.9,11738.3,11894.7,95936534
1996-06-30,12060,13861.9,12060,13708.7,69103211
1996-07-31,13781.4,14282.2,12391.8,12887.3,63368565
1996-08-31,12619.4,13932,12336.8,13932,48020254
1996-09-30,14039.4,14832.7,13568.1,14744,63010189
1996-10-31,14753.6,15078.7,12873.3,13497.9,73452905
1996-11-30,13535.4,13919.8,13392.1,13789.7,40947482
1996-12-31,13653.3,14342.8,13290,14342.8,48439504
1997-01-31,14423.8,16910.4,14421.6,16105.5,96599829
1997-02-28,16510.9,18339.4,16510.9,17543.8,103021012
1997-03-31,17419.7,17830.2,15969.9,16690.4,86038218
1997-04-30,16103,17016.3,15596.2,16546.7,100477337
1997-05-31,16744.3,16899.1,15751.7,15941.7,74199318
1997-06-30,16179.7,16482.1,15147.7,15163.8,52205586
1997-07-31,15087.9,15933.6,14913.5,15166.7,75867021
1997-08-31,15116.8,17307.7,15116.8,16833.1,65400878
1997-09-30,16553.1,18016.2,16553.1,17482.8,69889899
1997-10-31,17534.4,18112.1,14953.7,15371.9,87619425
1997-11-30,15692,15977.2,14223.7,14322.6,62408860
1997-12-31,14411.6,15131.5,13619.8,14668,69765985
1998-01-31,14886.2,14886.2,13228.8,14601.5,76863591
1998-02-28,14978.2,17621,14978.2,17621,145807423
1998-03-31,17611.6,18582.7,16775.8,16864,118716837
1998-04-30,17038.7,17820.7,16973.4,17743.8,86541123
1998-05-31,17917.7,18035.1,15669.3,15683.3,102666967
1998-06-30,15038.4,16301.1,14551,15728.6,99656433
1998-07-31,15904.4,17774.3,15904.4,16534.3,125901177
1998-08-31,15959.6,15959.6,11635.9,11635.9,100609308
1998-09-30,10883.7,12961.9,10883.7,12238.3,128243907
1998-10-31,11413,12345.4,10473.7,12345.4,106374321
1998-11-30,12899.9,13220.2,11777.7,11777.7,125030137
1998-12-31,11532,12989.2,11532,12795.6,127382878
1999-01-31,13218.1,14709.7,12591.1,14573.5,186696926
1999-02-28,14676.2,14676.2,13235.2,13235.2,170647671
1999-03-31,13457.3,14232.1,13296.5,14131.3,243715267
1999-04-30,14220.7,15515.8,14220.7,15248,158200461
1999-05-31,15643,16017.3,14904,15623,118632032
1999-06-30,15669.1,17046.4,15591,16825.1,145791921
1999-07-31,17323.1,17645.9,16729.1,16980.4,123244880
1999-08-31,17095.5,17234.2,16375.8,17014.3,85450945
