Date,Open,High,Low,Close,Volume
1789-05-31,0.51,0.51,0.51,0.51,0
1789-06-30,0.51,0.51,0.51,0.51,0
1789-07-31,0.5,0.5,0.5,0.5,0
1789-08-31,0.5,0.51,0.5,0.51,0
1789-09-30,0.51,0.51,0.5,0.51,0
1789-10-31,0.51,0.51,0.51,0.51,0
1789-11-30,0.51,0.51,0.5,0.5,0
1789-12-31,0.5,0.5,0.5,0.5,0
1790-01-31,0.5,0.5,0.49,0.49,0
1790-02-28,0.49,0.49,0.49,0.49,0
1790-03-31,0.49,0.51,0.49,0.5,0
1790-04-30,0.5,0.5,0.49,0.5,0
1790-05-31,0.51,0.52,0.51,0.52,0
1790-06-30,0.52,0.53,0.52,0.53,0
1790-07-31,0.53,0.53,0.53,0.53,0
1790-08-31,0.53,0.54,0.53,0.54,0
1790-09-30,0.54,0.55,0.54,0.55,0
1790-10-31,0.55,0.57,0.55,0.56,0
1790-11-30,0.56,0.57,0.55,0.55,0
1790-12-31,0.57,0.57,0.57,0.57,0
1791-01-31,0.57,0.58,0.57,0.58,0
1791-02-28,0.58,0.59,0.58,0.59,0
1791-03-31,0.59,0.59,0.59,0.59,0
1791-04-30,0.6,0.6,0.6,0.6,0
1791-05-31,0.6,0.6,0.6,0.6,0
1791-06-30,0.6,0.6,0.6,0.6,0
1791-07-31,0.6,0.6,0.6,0.6,0
1791-08-31,0.6,0.61,0.6,0.61,0
1791-09-30,0.61,0.62,0.61,0.62,0
1791-10-31,0.62,0.62,0.62,0.62,0
1791-11-30,0.62,0.62,0.62,0.62,0
1791-12-31,0.63,0.63,0.63,0.63,0
1792-01-31,0.63,0.64,0.63,0.63,0
1792-02-29,0.63,0.63,0.62,0.62,0
1792-03-31,0.63,0.63,0.62,0.62,0
1792-04-30,0.62,0.62,0.62,0.62,0
1792-05-31,0.61,0.61,0.59,0.59,0
1792-06-30,0.59,0.59,0.58,0.58,0
1792-07-31,0.58,0.58,0.57,0.57,0
1792-08-31,0.57,0.57,0.57,0.57,0
1792-09-30,0.56,0.61,0.56,0.56,0
1792-10-31,0.56,0.56,0.52,0.54,0
1792-11-30,0.53,0.54,0.53,0.54,0
1792-12-31,0.54,0.54,0.54,0.54,0
1793-01-31,0.54,0.55,0.54,0.55,0
1793-02-28,0.55,0.57,0.55,0.57,0
1793-03-31,0.57,0.58,0.57,0.58,0
1793-04-30,0.58,0.61,0.58,0.59,0
1793-05-31,0.59,0.59,0.58,0.59,0
1793-06-30,0.59,0.6,0.59,0.6,0
1793-07-31,0.6,0.6,0.6,0.6,0
1793-08-31,0.6,0.6,0.6,0.6,0
1793-09-30,0.6,0.6,0.6,0.6,0
1793-10-31,0.6,0.61,0.6,0.61,0
1793-11-30,0.61,0.61,0.61,0.61,0
1793-12-31,0.62,0.62,0.61,0.62,0
1794-01-31,0.62,0.63,0.62,0.63,0
1794-02-28,0.63,0.64,0.63,0.64,0
1794-03-31,0.64,0.66,0.64,0.66,0
1794-04-30,0.66,0.66,0.66,0.66,0
1794-05-31,0.67,0.68,0.67,0.68,0
1794-06-30,0.68,0.7,0.68,0.7,0
1794-07-31,0.7,0.76,0.7,0.71,0
1794-08-31,0.72,0.73,0.68,0.73,0
1794-09-30,0.73,0.74,0.73,0.74,0
1794-10-31,0.74,0.74,0.74,0.74,0
1794-11-30,0.75,0.76,0.75,0.76,0
1794-12-31,0.76,0.76,0.76,0.76,0
1795-01-31,0.76,0.76,0.76,0.76,0
1795-02-28,0.76,0.78,0.76,0.78,0
1795-03-31,0.76,0.77,0.76,0.77,0
1795-04-30,0.76,0.78,0.76,0.78,0
1795-05-31,0.78,0.78,0.78,0.78,0
1795-06-30,0.78,0.78,0.78,0.78,0
1795-07-31,0.78,0.78,0.77,0.77,0
1795-08-31,0.77,0.77,0.77,0.77,0
1795-09-30,0.77,0.77,0.75,0.75,0
1795-10-31,0.75,0.77,0.75,0.75,0
1795-11-30,0.75,0.75,0.73,0.74,0
1795-12-31,0.74,0.74,0.73,0.73,0
1796-01-31,0.73,0.73,0.73,0.73,0
1796-02-29,0.73,0.73,0.72,0.72,0
1796-03-31,0.72,0.72,0.71,0.71,0
1796-04-30,0.71,0.71,0.71,0.71,0
1796-05-31,0.7,0.72,0.7,0.7,0
1796-06-30,0.7,0.7,0.67,0.67,0
1796-07-31,0.68,0.68,0.67,0.67,0
1796-08-31,0.67,0.67,0.66,0.66,0
1796-09-30,0.66,0.66,0.65,0.65,0
1796-10-31,0.65,0.65,0.65,0.65,0
1796-11-30,0.65,0.65,0.64,0.64,0
1796-12-31,0.64,0.64,0.63,0.63,0
1797-01-31,0.63,0.63,0.63,0.63,0
1797-02-28,0.63,0.63,0.62,0.63,0
1797-03-31,0.62,0.62,0.62,0.62,0
1797-04-30,0.62,0.62,0.62,0.62,0
1797-05-31,0.61,0.61,0.61,0.61,0
1797-06-30,0.61,0.61,0.61,0.61,0
1797-07-31,0.61,0.61,0.61,0.61,0
1797-08-31,0.61,0.62,0.6,0.6,0
1797-09-30,0.6,0.6,0.58,0.59,0
1797-10-31,0.59,0.59,0.58,0.58,0
1797-11-30,0.58,0.58,0.58,0.58,0
1797-12-31,0.58,0.58,0.58,0.58,0
1798-01-31,0.58,0.58,0.57,0.57,0
1798-02-28,0.57,0.58,0.57,0.58,0
1798-03-31,0.58,0.59,0.58,0.59,0
1798-04-30,0.62,0.62,0.59,0.6,0
1798-05-31,0.6,0.61,0.57,0.61,0
1798-06-30,0.61,0.62,0.61,0.62,0
1798-07-31,0.62,0.63,0.62,0.63,0
1798-08-31,0.64,0.65,0.64,0.65,0
1798-09-30,0.66,0.67,0.66,0.67,0
1798-10-31,0.67,0.68,0.67,0.68,0
1798-11-30,0.68,0.7,0.68,0.68,0
1798-12-31,0.68,0.69,0.67,0.69,0
1799-01-31,0.69,0.69,0.69,0.69,0
1799-02-28,0.7,0.71,0.7,0.71,0
1799-03-31,0.71,0.71,0.71,0.71,0
1799-04-30,0.71,0.72,0.71,0.72,0
1799-05-31,0.72,0.73,0.72,0.73,0
1799-06-30,0.73,0.73,0.73,0.73,0
1799-07-31,0.74,0.74,0.73,0.74,0
1799-08-31,0.74,0.74,0.73,0.74,0
1799-09-30,0.74,0.74,0.74,0.74,0
1799-10-31,0.74,0.76,0.74,0.76,0
1799-11-30,0.76,0.77,0.76,0.77,0
1799-12-31,0.77,0.79,0.77,0.79,0
1800-01-31,0.79,0.8,0.79,0.8,0
1800-02-28,0.8,0.86,0.8,0.8,0
1800-03-31,0.81,0.85,0.76,0.85,0
1800-04-30,0.86,0.89,0.86,0.89,0
1800-05-31,0.89,0.9,0.89,0.9,0
1800-06-30,0.9,0.92,0.9,0.92,0
1800-07-31,0.93,0.94,0.93,0.94,0
1800-08-31,0.94,0.96,0.94,0.96,0
1800-09-30,0.97,1.03,0.97,1,0
1800-10-31,1,1.01,1,1.01,0
1800-11-30,1,1.02,1,1.01,0
1800-12-31,1.01,1.01,1,1,0
1801-01-31,1,1,0.98,0.98,0
1801-02-28,0.98,0.98,0.96,0.96,0
1801-03-31,0.95,0.95,0.91,0.91,0
1801-04-30,0.9,0.9,0.88,0.88,0
1801-05-31,0.87,0.96,0.84,0.84,0
1801-06-30,0.83,0.83,0.72,0.81,0
1801-07-31,0.8,0.8,0.77,0.77,0
1801-08-31,0.76,0.76,0.74,0.74,0
1801-09-30,0.73,0.73,0.71,0.71,0
1801-10-31,0.7,0.7,0.68,0.68,0
1801-11-30,0.67,0.67,0.65,0.65,0
1801-12-31,0.65,0.66,0.63,0.63,0
1802-01-31,0.63,0.63,0.59,0.59,0
1802-02-28,0.61,0.61,0.6,0.6,0
1802-03-31,0.6,0.6,0.6,0.6,0
1802-04-30,0.6,0.6,0.6,0.6,0
1802-05-31,0.61,0.61,0.61,0.61,0
1802-06-30,0.61,0.61,0.61,0.61,0
1802-07-31,0.61,0.62,0.61,0.62,0
1802-08-31,0.62,0.64,0.62,0.62,0
1802-09-30,0.63,0.63,0.62,0.63,0
1802-10-31,0.63,0.64,0.63,0.64,0
1802-11-30,0.64,0.65,0.64,0.65,0
1802-12-31,0.65,0.65,0.65,0.65,0
1803-01-31,0.65,0.66,0.65,0.66,0
1803-02-28,0.66,0.67,0.66,0.67,0
1803-03-31,0.68,0.7,0.68,0.68,0
1803-04-30,0.69,0.7,0.69,0.7,0
1803-05-31,0.7,0.71,0.7,0.71,0
1803-06-30,0.71,0.71,0.71,0.71,0
1803-07-31,0.71,0.71,0.71,0.71,0
1803-08-31,0.71,0.72,0.71,0.72,0
1803-09-30,0.72,0.72,0.72,0.72,0
1803-10-31,0.72,0.73,0.72,0.73,0
1803-11-30,0.73,0.74,0.73,0.74,0
1803-12-31,0.74,0.75,0.72,0.75,0
1804-01-31,0.76,0.77,0.76,0.77,0
1804-02-29,0.78,0.8,0.78,0.8,0
1804-03-31,0.8,0.83,0.8,0.83,0
1804-04-30,0.84,0.86,0.84,0.86,0
1804-05-31,0.87,0.89,0.87,0.89,0
1804-06-30,0.9,1.02,0.9,0.93,0
1804-07-31,0.93,0.96,0.86,0.96,0
1804-08-31,0.98,1.01,0.98,1.01,0
1804-09-30,1.03,1.06,1.03,1.06,0
1804-10-31,1.07,1.08,1.07,1.08,0
1804-11-30,1.08,1.09,1.08,1.09,0
1804-12-31,1.09,1.11,1.09,1.11,0
1805-01-31,1.11,1.14,1.11,1.14,0
1805-02-28,1.12,1.12,1.12,1.12,0
1805-03-31,1.12,1.12,1.1,1.12,0
1805-04-30,1.12,1.12,1.11,1.11,0
1805-05-31,1.11,1.11,1.11,1.11,0
1805-06-30,1.11,1.12,1.11,1.12,0
1805-07-31,1.12,1.12,1.11,1.11,0
1805-08-31,1.11,1.11,1.1,1.1,0
1805-09-30,1.1,1.14,1.09,1.09,0
1805-10-31,1.09,1.09,1.06,1.09,0
1805-11-30,1.08,1.09,1.08,1.09,0
1805-12-31,1.09,1.1,1.09,1.1,0
1806-01-31,1.1,1.11,1.1,1.11,0
1806-02-28,1.12,1.15,1.12,1.15,0
1806-03-31,1.16,1.19,1.16,1.19,0
1806-04-30,1.2,1.29,1.2,1.21,0
1806-05-31,1.22,1.23,1.17,1.17,0
1806-06-30,1.23,1.24,1.23,1.24,0
1806-07-31,1.25,1.26,1.25,1.26,0
