Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1984-01-31,0.0098,0.0099,0.0098,0.0099
1984-02-29,0.0099,0.0099,0.0098,0.0098
1984-03-31,0.011,0.011,0.0108,0.0109
1984-04-30,0.0109,0.011,0.0109,0.011
1984-05-31,0.011,0.0111,0.011,0.0111
1984-06-30,0.0111,0.0111,0.011,0.0111
1984-07-31,0.0112,0.0113,0.0112,0.0113
1984-08-31,0.0113,0.0113,0.0113,0.0113
1984-09-30,0.0123,0.0126,0.0123,0.0126
1984-10-31,0.0126,0.0127,0.0125,0.0126
1984-11-30,0.0126,0.0126,0.0124,0.0125
1984-12-31,0.0126,0.0126,0.0126,0.0126
1985-01-31,0.0138,0.0139,0.0138,0.0139
1985-02-28,0.0139,0.0141,0.0139,0.0141
1985-03-31,0.0141,0.0143,0.0138,0.0138
1985-04-30,0.0138,0.0138,0.0136,0.0136
1985-05-31,0.0137,0.0139,0.0136,0.0136
1985-06-30,0.0159,0.0159,0.0158,0.0158
1985-07-31,0.0158,0.0158,0.0154,0.0154
1985-08-31,0.0154,0.0155,0.0153,0.0153
1985-09-30,0.0153,0.0156,0.0152,0.0152
1985-10-31,0.0151,0.0151,0.015,0.015
1985-11-30,0.015,0.015,0.015,0.015
1985-12-31,0.0149,0.0149,0.0148,0.0148
1986-01-31,0.0148,0.0148,0.0147,0.0147
1986-02-28,0.017,0.017,0.0169,0.0169
1986-03-31,0.0166,0.0167,0.0165,0.0166
1986-04-30,0.0167,0.0169,0.0164,0.0164
1986-05-31,0.0164,0.0165,0.0164,0.0165
1986-06-30,0.0166,0.0166,0.0165,0.0165
1986-07-31,0.0164,0.0164,0.0163,0.0163
1986-08-31,0.0162,0.0162,0.0161,0.0161
1986-09-30,0.02,0.02,0.0199,0.02
1986-10-31,0.02,0.02,0.0198,0.0198
1986-11-30,0.02,0.0201,0.02,0.02
1986-12-31,0.0199,0.02,0.0198,0.0198
1987-01-31,0.0197,0.0197,0.0193,0.0193
1987-02-28,0.024,0.024,0.0239,0.024
